timestamp,day_of_week,hour,distance_cm,battery_pct,alert_type,mode
2026-03-09 08:00:00,Monday,8,195.7,100.0,low_battery,navigation
2026-03-09 08:00:30,Monday,8,194.8,100.0,none,indoor_assist
2026-03-09 08:01:00,Monday,8,210.0,100.0,none,navigation
2026-03-09 08:01:30,Monday,8,192.0,99.9,obstacle_medium,indoor_assist
2026-03-09 08:02:00,Monday,8,219.7,99.9,none,indoor_assist
2026-03-09 08:02:30,Monday,8,203.3,99.9,obstacle_medium,indoor_assist
2026-03-09 08:03:00,Monday,8,201.2,99.9,none,indoor_assist
2026-03-09 08:03:30,Monday,8,196.8,99.9,none,navigation
2026-03-09 08:04:00,Monday,8,226.2,99.8,obstacle_medium,navigation
2026-03-09 08:04:30,Monday,8,192.8,99.8,none,indoor_assist
2026-03-09 08:05:00,Monday,8,217.0,99.8,none,standby
2026-03-09 08:05:30,Monday,8,154.6,99.8,none,indoor_assist
2026-03-09 08:06:00,Monday,8,219.9,99.8,none,indoor_assist
2026-03-09 08:06:30,Monday,8,163.4,99.7,none,navigation
2026-03-09 08:07:00,Monday,8,203.4,99.7,obstacle_near,navigation
2026-03-09 08:07:30,Monday,8,224.6,99.7,obstacle_medium,navigation
2026-03-09 08:08:00,Monday,8,181.2,99.7,none,navigation
2026-03-09 08:08:30,Monday,8,178.5,99.7,low_battery,standby
2026-03-09 08:09:00,Monday,8,175.4,99.6,obstacle_medium,indoor_assist
2026-03-09 08:09:30,Monday,8,167.0,99.6,obstacle_medium,navigation
2026-03-09 08:10:00,Monday,8,242.8,99.6,none,indoor_assist
2026-03-09 08:10:30,Monday,8,197.2,99.6,none,indoor_assist
2026-03-09 08:11:00,Monday,8,201.0,99.6,none,navigation
2026-03-09 08:11:30,Monday,8,207.6,99.5,obstacle_medium,standby
2026-03-09 08:12:00,Monday,8,218.6,99.5,none,navigation
2026-03-09 08:12:30,Monday,8,181.7,99.5,none,navigation
2026-03-09 08:13:00,Monday,8,197.9,99.5,none,navigation
2026-03-09 08:13:30,Monday,8,222.5,99.5,none,standby
2026-03-09 08:14:00,Monday,8,183.0,99.4,none,indoor_assist
2026-03-09 08:14:30,Monday,8,212.5,99.4,obstacle_medium,navigation
2026-03-09 08:15:00,Monday,8,232.5,99.4,none,navigation
2026-03-09 08:15:30,Monday,8,226.8,99.4,obstacle_near,navigation
2026-03-09 08:16:00,Monday,8,236.8,99.4,none,standby
2026-03-09 08:16:30,Monday,8,199.1,99.3,obstacle_near,indoor_assist
2026-03-09 08:17:00,Monday,8,184.5,99.3,low_battery,indoor_assist
2026-03-09 08:17:30,Monday,8,166.1,99.3,obstacle_medium,navigation
2026-03-09 08:18:00,Monday,8,128.7,99.3,none,navigation
2026-03-09 08:18:30,Monday,8,221.3,99.3,none,navigation
2026-03-09 08:19:00,Monday,8,251.7,99.2,low_battery,indoor_assist
2026-03-09 08:19:30,Monday,8,168.3,99.2,none,navigation
2026-03-09 08:20:00,Monday,8,202.9,99.2,none,indoor_assist
2026-03-09 08:20:30,Monday,8,162.8,99.2,obstacle_near,navigation
2026-03-09 08:21:00,Monday,8,268.5,99.2,none,indoor_assist
2026-03-09 08:21:30,Monday,8,208.4,99.1,none,navigation
2026-03-09 08:22:00,Monday,8,252.4,99.1,obstacle_medium,navigation
2026-03-09 08:22:30,Monday,8,149.6,99.1,obstacle_near,indoor_assist
2026-03-09 08:23:00,Monday,8,201.6,99.1,none,indoor_assist
2026-03-09 08:23:30,Monday,8,184.4,99.1,low_battery,standby
2026-03-09 08:24:00,Monday,8,181.7,99.0,none,indoor_assist
2026-03-09 08:24:30,Monday,8,209.6,99.0,obstacle_medium,navigation
2026-03-09 08:25:00,Monday,8,243.4,99.0,none,indoor_assist
2026-03-09 08:25:30,Monday,8,198.7,99.0,obstacle_medium,navigation
2026-03-09 08:26:00,Monday,8,179.0,99.0,fall_detected,navigation
2026-03-09 08:26:30,Monday,8,234.0,98.9,obstacle_near,indoor_assist
2026-03-09 08:27:00,Monday,8,208.6,98.9,none,navigation
2026-03-09 08:27:30,Monday,8,264.6,98.9,fall_detected,indoor_assist
2026-03-09 08:28:00,Monday,8,203.6,98.9,none,indoor_assist
2026-03-09 08:28:30,Monday,8,215.6,98.9,none,indoor_assist
2026-03-09 08:29:00,Monday,8,206.9,98.8,obstacle_medium,navigation
2026-03-09 08:29:30,Monday,8,181.8,98.8,none,navigation
2026-03-09 08:30:00,Monday,8,194.1,98.8,none,navigation
2026-03-09 08:30:30,Monday,8,155.5,98.8,none,navigation
2026-03-09 08:31:00,Monday,8,214.6,98.8,obstacle_medium,navigation
2026-03-09 08:31:30,Monday,8,182.7,98.7,none,navigation
2026-03-09 08:32:00,Monday,8,200.1,98.7,none,standby
2026-03-09 08:32:30,Monday,8,268.0,98.7,none,navigation
2026-03-09 08:33:00,Monday,8,257.0,98.7,none,standby
2026-03-09 08:33:30,Monday,8,199.7,98.7,none,navigation
2026-03-09 08:34:00,Monday,8,179.3,98.6,none,navigation
2026-03-09 08:34:30,Monday,8,201.9,98.6,none,standby
2026-03-09 08:35:00,Monday,8,195.0,98.6,none,navigation
2026-03-09 08:35:30,Monday,8,252.3,98.6,none,standby
2026-03-09 08:36:00,Monday,8,155.1,98.6,obstacle_medium,navigation
2026-03-09 08:36:30,Monday,8,183.6,98.5,none,indoor_assist
2026-03-09 08:37:00,Monday,8,151.9,98.5,obstacle_near,indoor_assist
2026-03-09 08:37:30,Monday,8,186.9,98.5,none,standby
2026-03-09 08:38:00,Monday,8,241.9,98.5,obstacle_medium,navigation
2026-03-09 08:38:30,Monday,8,263.8,98.5,none,indoor_assist
2026-03-09 08:39:00,Monday,8,201.4,98.4,none,navigation
2026-03-09 08:39:30,Monday,8,215.1,98.4,none,indoor_assist
2026-03-09 08:40:00,Monday,8,165.3,98.4,none,standby
2026-03-09 08:40:30,Monday,8,219.3,98.4,obstacle_medium,indoor_assist
2026-03-09 08:41:00,Monday,8,202.1,98.4,none,navigation
2026-03-09 08:41:30,Monday,8,230.0,98.3,none,indoor_assist
2026-03-09 08:42:00,Monday,8,229.8,98.3,none,standby
2026-03-09 08:42:30,Monday,8,214.6,98.3,obstacle_near,navigation
2026-03-09 08:43:00,Monday,8,193.3,98.3,none,standby
2026-03-09 08:43:30,Monday,8,269.5,98.3,none,navigation
2026-03-09 08:44:00,Monday,8,223.5,98.2,none,standby
2026-03-09 08:44:30,Monday,8,159.5,98.2,none,navigation
2026-03-09 08:45:00,Monday,8,210.4,98.2,none,standby
2026-03-09 08:45:30,Monday,8,176.9,98.2,obstacle_medium,navigation
2026-03-09 08:46:00,Monday,8,229.8,98.2,low_battery,indoor_assist
2026-03-09 08:46:30,Monday,8,223.7,98.1,none,navigation
2026-03-09 08:47:00,Monday,8,184.4,98.1,none,standby
2026-03-09 08:47:30,Monday,8,182.5,98.1,none,navigation
2026-03-09 08:48:00,Monday,8,178.6,98.1,obstacle_near,indoor_assist
2026-03-09 08:48:30,Monday,8,211.2,98.1,none,navigation
2026-03-09 08:49:00,Monday,8,197.9,98.0,none,navigation
2026-03-09 08:49:30,Monday,8,162.1,98.0,obstacle_near,standby
2026-03-09 08:50:00,Monday,8,231.0,98.0,none,indoor_assist
2026-03-09 08:50:30,Monday,8,178.6,98.0,obstacle_medium,navigation
2026-03-09 08:51:00,Monday,8,177.0,98.0,none,standby
2026-03-09 08:51:30,Monday,8,260.0,97.9,none,navigation
2026-03-09 08:52:00,Monday,8,200.0,97.9,none,standby
2026-03-09 08:52:30,Monday,8,214.0,97.9,none,indoor_assist
2026-03-09 08:53:00,Monday,8,239.0,97.9,none,standby
2026-03-09 08:53:30,Monday,8,257.1,97.9,none,standby
2026-03-09 08:54:00,Monday,8,248.4,97.8,none,standby
2026-03-09 08:54:30,Monday,8,207.6,97.8,none,standby
2026-03-09 08:55:00,Monday,8,208.8,97.8,none,navigation
2026-03-09 08:55:30,Monday,8,178.1,97.8,none,standby
2026-03-09 08:56:00,Monday,8,209.5,97.8,none,navigation
2026-03-09 08:56:30,Monday,8,254.4,97.7,none,navigation
2026-03-09 08:57:00,Monday,8,219.4,97.7,none,standby
2026-03-09 08:57:30,Monday,8,202.9,97.7,none,navigation
2026-03-09 08:58:00,Monday,8,180.9,97.7,none,indoor_assist
2026-03-09 08:58:30,Monday,8,176.5,97.7,none,navigation
2026-03-09 08:59:00,Monday,8,218.5,97.6,none,navigation
2026-03-09 08:59:30,Monday,8,196.5,97.6,obstacle_medium,navigation
2026-03-09 09:00:00,Monday,9,116.5,97.6,none,indoor_assist
2026-03-09 09:00:30,Monday,9,94.2,97.6,none,indoor_assist
2026-03-09 09:01:00,Monday,9,118.6,97.6,obstacle_near,standby
2026-03-09 09:01:30,Monday,9,167.1,97.5,none,indoor_assist
2026-03-09 09:02:00,Monday,9,117.7,97.5,none,navigation
2026-03-09 09:02:30,Monday,9,75.3,97.5,obstacle_medium,navigation
2026-03-09 09:03:00,Monday,9,97.2,97.5,none,navigation
2026-03-09 09:03:30,Monday,9,173.6,97.5,none,navigation
2026-03-09 09:04:00,Monday,9,99.5,97.4,obstacle_medium,navigation
2026-03-09 09:04:30,Monday,9,134.5,97.4,none,indoor_assist
2026-03-09 09:05:00,Monday,9,154.0,97.4,none,indoor_assist
2026-03-09 09:05:30,Monday,9,96.2,97.4,obstacle_near,navigation
